timestamp,metric_name,value,unit
2026-03-24T18:00:00Z,NetworkPacketsIn,48210,Count
2026-03-24T18:30:00Z,NetworkPacketsIn,51893,Count
2026-03-24T19:00:00Z,NetworkPacketsIn,49102,Count
2026-03-24T19:30:00Z,NetworkPacketsIn,47833,Count
2026-03-24T19:42:00Z,NetworkPacketsIn,312,Count
2026-03-24T19:45:00Z,NetworkPacketsIn,28,Count
2026-03-24T19:50:00Z,NetworkPacketsIn,4,Count
2026-03-24T20:00:00Z,NetworkPacketsIn,2,Count
2026-03-24T20:30:00Z,NetworkPacketsIn,1,Count
2026-03-24T21:00:00Z,NetworkPacketsIn,0,Count
2026-03-24T21:30:00Z,NetworkPacketsIn,0,Count
2026-03-24T18:00:00Z,CPUUtilization,34.2,Percent
2026-03-24T18:30:00Z,CPUUtilization,37.8,Percent
2026-03-24T19:00:00Z,CPUUtilization,35.1,Percent
2026-03-24T19:30:00Z,CPUUtilization,33.9,Percent
2026-03-24T19:42:00Z,CPUUtilization,8.4,Percent
2026-03-24T19:45:00Z,CPUUtilization,3.1,Percent
2026-03-24T19:50:00Z,CPUUtilization,2.2,Percent
2026-03-24T20:00:00Z,CPUUtilization,1.8,Percent
2026-03-24T20:30:00Z,CPUUtilization,1.5,Percent
2026-03-24T21:00:00Z,CPUUtilization,1.4,Percent
2026-03-24T21:30:00Z,CPUUtilization,1.3,Percent
2026-03-24T18:00:00Z,StatusCheckFailed,0,Count
2026-03-24T19:00:00Z,StatusCheckFailed,0,Count
2026-03-24T19:42:00Z,StatusCheckFailed,0,Count
2026-03-24T20:00:00Z,StatusCheckFailed,0,Count
2026-03-24T21:00:00Z,StatusCheckFailed,0,Count
2026-03-24T21:30:00Z,StatusCheckFailed,0,Count
