timestamp_utc,elasticache_bytes_used_for_cache,elasticache_cache_hits_5m,elasticache_cache_misses_5m,elasticache_curr_items,elasticache_evictions_5m,alb_target_response_time_avg,rds_database_connections,rds_cpu_utilization_pct,alb_5xx_count_5m
2026-03-24T09:00,11203584000,48210,312,3894102,0,0.11,38,18.2,0
2026-03-24T15:00,11298406400,47892,298,3901284,0,0.12,41,19.1,0
2026-03-25T09:00,11482931200,48104,321,3924810,0,0.11,39,18.8,0
2026-03-25T15:00,11574272000,47940,309,3932104,0,0.12,40,19.4,0
2026-03-26T09:00,11764121600,48320,334,3958221,0,0.12,42,20.1,0
2026-03-26T15:00,11861811200,47801,318,3967104,0,0.11,39,19.2,0
2026-03-26T21:00,11952742400,47628,342,3978402,0,0.12,37,18.4,0
2026-03-27T03:00,12201369600,12840,289,3998104,0,0.12,34,16.8,0
2026-03-27T05:00,12582912000,14210,301,4012841,0,0.12,36,17.2,0
2026-03-27T06:00,12784025600,42104,312,4028910,0,0.11,38,18.1,0
2026-03-27T07:00,13019119616,46892,328,4102384,0,0.12,40,19.8,0
2026-03-27T07:15,13153337344,47210,341,4142910,0,0.12,41,20.2,0
2026-03-27T07:30,14003511296,8420,38210,4218934,0,0.48,62,28.4,0
2026-03-27T07:45,14031216640,1204,42891,4218102,0,1.24,98,38.2,0
2026-03-27T08:00,14034886656,842,44102,4217841,0,2.18,128,48.1,12
2026-03-27T08:15,14036410368,421,45210,4217204,0,2.92,148,55.4,28
2026-03-27T08:30,14037000192,198,46840,4216891,0,3.41,180,72.1,42
2026-03-27T08:45,14037196800,84,47102,4216102,0,4.82,192,78.4,68
2026-03-27T09:00,14037262336,42,48204,4215284,0,6.12,200,85.2,124
2026-03-27T09:15,14037262336,18,48892,4214810,0,7.41,200,87.8,186
2026-03-27T09:30,14037262336,8,49104,4214392,0,8.21,200,89.1,212
