timestamp,metric_name,value,unit
2026-04-15T09:00:00Z,reorder_tool_latency_p50,348,Seconds
2026-04-15T09:00:00Z,reorder_tool_latency_p95,432,Seconds
2026-04-15T09:00:00Z,reorder_tool_latency_p99,524,Seconds
2026-04-16T09:00:00Z,reorder_tool_latency_p50,352,Seconds
2026-04-16T09:00:00Z,reorder_tool_latency_p95,441,Seconds
2026-04-17T09:00:00Z,reorder_tool_latency_p50,344,Seconds
2026-04-17T09:00:00Z,reorder_tool_latency_p95,428,Seconds
2026-04-18T09:00:00Z,reorder_tool_latency_p50,349,Seconds
2026-04-18T09:00:00Z,reorder_tool_latency_p95,437,Seconds
2026-04-22T09:00:00Z,reorder_tool_latency_p50,351,Seconds
2026-04-22T09:00:00Z,reorder_tool_latency_p95,439,Seconds
2026-04-22T09:00:00Z,gateway_504_count_per_5min,18,Count
2026-04-22T09:15:00Z,gateway_504_count_per_5min,21,Count
2026-04-22T09:30:00Z,gateway_504_count_per_5min,24,Count
2026-04-22T09:45:00Z,gateway_504_count_per_5min,22,Count
2026-04-22T09:00:00Z,agent_tool_retry_rate,0.97,Ratio
2026-04-22T09:15:00Z,agent_tool_retry_rate,0.98,Ratio
2026-04-22T16:00:00Z,gateway_504_count_per_5min,0,Count
2026-04-22T16:00:00Z,agent_tool_retry_rate,0.00,Ratio
