timestamp,metric_name,namespace,dimension,value,unit
2026-04-23T20:55:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,24,Count
2026-04-23T21:00:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,24,Count
2026-04-23T21:05:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,24,Count
2026-04-23T21:09:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,4,Count
2026-04-23T21:10:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,4,Count
2026-04-23T21:11:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,8,Count
2026-04-23T21:13:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,18,Count
2026-04-23T21:15:00Z,GroupInServiceInstances,AWS/AutoScaling,beacon-routing-prod-asg,24,Count
2026-04-23T20:55:00Z,GroupDesiredCapacity,AWS/AutoScaling,beacon-routing-prod-asg,24,Count
2026-04-23T21:09:00Z,GroupDesiredCapacity,AWS/AutoScaling,beacon-routing-prod-asg,24,Count
2026-04-23T21:15:00Z,GroupDesiredCapacity,AWS/AutoScaling,beacon-routing-prod-asg,24,Count
2026-04-23T20:55:00Z,HealthyHostCount,AWS/ApplicationELB,beacon-prod-alb,24,Count
2026-04-23T21:09:00Z,HealthyHostCount,AWS/ApplicationELB,beacon-prod-alb,4,Count
2026-04-23T21:10:00Z,HealthyHostCount,AWS/ApplicationELB,beacon-prod-alb,4,Count
2026-04-23T21:11:00Z,HealthyHostCount,AWS/ApplicationELB,beacon-prod-alb,4,Count
2026-04-23T21:13:00Z,HealthyHostCount,AWS/ApplicationELB,beacon-prod-alb,18,Count
2026-04-23T21:15:00Z,HealthyHostCount,AWS/ApplicationELB,beacon-prod-alb,24,Count
2026-04-23T20:55:00Z,HTTPCode_ELB_5XX_Count,AWS/ApplicationELB,beacon-prod-alb,2,Count
2026-04-23T21:00:00Z,HTTPCode_ELB_5XX_Count,AWS/ApplicationELB,beacon-prod-alb,3,Count
2026-04-23T21:09:00Z,HTTPCode_ELB_5XX_Count,AWS/ApplicationELB,beacon-prod-alb,1842,Count
2026-04-23T21:10:00Z,HTTPCode_ELB_5XX_Count,AWS/ApplicationELB,beacon-prod-alb,2104,Count
2026-04-23T21:11:00Z,HTTPCode_ELB_5XX_Count,AWS/ApplicationELB,beacon-prod-alb,1376,Count
2026-04-23T21:13:00Z,HTTPCode_ELB_5XX_Count,AWS/ApplicationELB,beacon-prod-alb,228,Count
2026-04-23T21:15:00Z,HTTPCode_ELB_5XX_Count,AWS/ApplicationELB,beacon-prod-alb,4,Count
