timestamp,metric_name,namespace,dimension,value,unit
2026-04-24T16:35:00Z,RunningTaskCount,ECS/ContainerInsights,adagio-matcher-service,40,Count
2026-04-24T16:40:00Z,RunningTaskCount,ECS/ContainerInsights,adagio-matcher-service,40,Count
2026-04-24T16:45:00Z,RunningTaskCount,ECS/ContainerInsights,adagio-matcher-service,100,Count
2026-04-24T16:50:00Z,RunningTaskCount,ECS/ContainerInsights,adagio-matcher-service,100,Count
2026-04-24T17:00:00Z,RunningTaskCount,ECS/ContainerInsights,adagio-matcher-service,100,Count
2026-04-24T16:35:00Z,MatcherErrorRate,Custom/Adagio,matcher-service,0.04,Percent
2026-04-24T16:40:00Z,MatcherErrorRate,Custom/Adagio,matcher-service,0.06,Percent
2026-04-24T16:45:00Z,MatcherErrorRate,Custom/Adagio,matcher-service,4.12,Percent
2026-04-24T16:50:00Z,MatcherErrorRate,Custom/Adagio,matcher-service,12.84,Percent
2026-04-24T16:55:00Z,MatcherErrorRate,Custom/Adagio,matcher-service,11.92,Percent
2026-04-24T17:00:00Z,MatcherErrorRate,Custom/Adagio,matcher-service,0.32,Percent
2026-04-24T16:35:00Z,IntraMeshConnectionsPerTask,Custom/Adagio,matcher-service,78,Count
2026-04-24T16:40:00Z,IntraMeshConnectionsPerTask,Custom/Adagio,matcher-service,78,Count
2026-04-24T16:45:00Z,IntraMeshConnectionsPerTask,Custom/Adagio,matcher-service,198,Count
2026-04-24T16:50:00Z,IntraMeshConnectionsPerTask,Custom/Adagio,matcher-service,198,Count
2026-04-24T17:00:00Z,IntraMeshConnectionsPerTask,Custom/Adagio,matcher-service,198,Count
2026-04-24T16:35:00Z,CPUUtilization,ECS/ContainerInsights,adagio-matcher-service,42,Percent
2026-04-24T16:45:00Z,CPUUtilization,ECS/ContainerInsights,adagio-matcher-service,28,Percent
2026-04-24T16:50:00Z,CPUUtilization,ECS/ContainerInsights,adagio-matcher-service,12,Percent
2026-04-24T16:35:00Z,MemoryUtilization,ECS/ContainerInsights,adagio-matcher-service,46,Percent
2026-04-24T16:45:00Z,MemoryUtilization,ECS/ContainerInsights,adagio-matcher-service,48,Percent
2026-04-24T16:50:00Z,MemoryUtilization,ECS/ContainerInsights,adagio-matcher-service,49,Percent
