timestamp,metric_name,namespace,dimension,value,unit
2026-04-24T08:00:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,124000,Count
2026-04-24T09:00:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,1842000,Count
2026-04-24T09:14:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,4234118,Count
2026-04-24T10:00:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,4234108,Count
2026-04-24T15:00:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,4234116,Count
2026-04-24T17:51:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,4233902,Count
2026-04-24T18:30:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,3104221,Count
2026-04-24T22:30:00Z,ApproximateNumberOfMessagesVisible,AWS/SQS,polestar-returns-queue,9842,Count
2026-04-24T09:00:00Z,Invocations,AWS/Lambda,polestar-return-classifier,481000,Count
2026-04-24T10:00:00Z,Invocations,AWS/Lambda,polestar-return-classifier,2880000,Count
2026-04-24T15:00:00Z,Invocations,AWS/Lambda,polestar-return-classifier,2880000,Count
2026-04-24T17:51:00Z,Invocations,AWS/Lambda,polestar-return-classifier,18000,Count
2026-04-24T18:30:00Z,Invocations,AWS/Lambda,polestar-return-classifier,180000,Count
2026-04-24T09:00:00Z,Duration,AWS/Lambda,polestar-return-classifier,612,Milliseconds
2026-04-24T09:14:00Z,Duration,AWS/Lambda,polestar-return-classifier,4801,Milliseconds
2026-04-24T10:00:00Z,Duration,AWS/Lambda,polestar-return-classifier,4802,Milliseconds
2026-04-24T15:00:00Z,Duration,AWS/Lambda,polestar-return-classifier,4799,Milliseconds
2026-04-24T17:51:00Z,Duration,AWS/Lambda,polestar-return-classifier,624,Milliseconds
2026-04-24T18:30:00Z,Duration,AWS/Lambda,polestar-return-classifier,602,Milliseconds
2026-04-24T09:00:00Z,Errors,AWS/Lambda,polestar-return-classifier,3,Count
2026-04-24T09:14:00Z,Errors,AWS/Lambda,polestar-return-classifier,7942,Count
2026-04-24T10:00:00Z,Errors,AWS/Lambda,polestar-return-classifier,2870000,Count
2026-04-24T17:51:00Z,Errors,AWS/Lambda,polestar-return-classifier,11,Count
