timestamp,metric_name,namespace,dimension,value,unit
2026-04-24T23:25:00Z,DNSQueries,AWS/Route53,Z3HALCYONPAY01,84102,Count
2026-04-24T23:30:00Z,DNSQueries,AWS/Route53,Z3HALCYONPAY01,87411,Count
2026-04-24T23:31:00Z,DNSQueries,AWS/Route53,Z3HALCYONPAY01,89102,Count
2026-04-24T23:32:00Z,DNSQueries,AWS/Route53,Z3HALCYONPAY01,86512,Count
2026-04-24T23:33:00Z,DNSQueries,AWS/Route53,Z3HALCYONPAY01,84221,Count
2026-04-24T23:25:00Z,SyntheticAvailability,CloudWatch/Synthetics,api-halcyonpay-com,100.0,Percent
2026-04-24T23:30:00Z,SyntheticAvailability,CloudWatch/Synthetics,api-halcyonpay-com,100.0,Percent
2026-04-24T23:31:00Z,SyntheticAvailability,CloudWatch/Synthetics,api-halcyonpay-com,33.3,Percent
2026-04-24T23:32:00Z,SyntheticAvailability,CloudWatch/Synthetics,api-halcyonpay-com,16.6,Percent
2026-04-24T23:33:00Z,SyntheticAvailability,CloudWatch/Synthetics,api-halcyonpay-com,50.0,Percent
2026-04-24T23:34:00Z,SyntheticAvailability,CloudWatch/Synthetics,api-halcyonpay-com,66.6,Percent
2026-04-24T23:42:00Z,SyntheticAvailability,CloudWatch/Synthetics,api-halcyonpay-com,100.0,Percent
2026-04-24T23:25:00Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,3,Count
2026-04-24T23:31:14Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,6,Count
2026-04-24T23:31:15Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,3,Count
2026-04-24T23:31:16Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,4,Count
2026-04-24T23:31:45Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,2,Count
2026-04-24T23:31:48Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,0,Count
2026-04-24T23:32:15Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,3,Count
2026-04-24T23:42:00Z,ResourceRecordSetSize,Custom/Halcyon,api.halcyonpay.com.A,3,Count
