timestamp,metric_name,namespace,dimension,value,unit
2026-04-24T20:55:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,12,Count
2026-04-24T20:55:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1b,12,Count
2026-04-24T21:00:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,12,Count
2026-04-24T21:00:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1b,12,Count
2026-04-24T21:08:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,12,Count
2026-04-24T21:09:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,4,Count
2026-04-24T21:10:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,4,Count
2026-04-24T21:10:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1b,12,Count
2026-04-24T21:11:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,12,Count
2026-04-24T21:13:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,12,Count
2026-04-24T21:13:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1b,4,Count
2026-04-24T21:15:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1b,4,Count
2026-04-24T21:16:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1b,12,Count
2026-04-24T21:18:00Z,HealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,4,Count
2026-04-24T21:08:00Z,UnHealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,0,Count
2026-04-24T21:09:00Z,UnHealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,8,Count
2026-04-24T21:10:00Z,UnHealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,8,Count
2026-04-24T21:11:00Z,UnHealthyHostCount,AWS/NetworkELB,lumen-edge-target-group/us-east-1a,0,Count
2026-04-24T21:08:00Z,ActiveFlowCount_TLS,AWS/NetworkELB,lumen-edge-nlb,124000,Count
2026-04-24T21:09:00Z,ActiveFlowCount_TLS,AWS/NetworkELB,lumen-edge-nlb,84000,Count
2026-04-24T21:10:00Z,ActiveFlowCount_TLS,AWS/NetworkELB,lumen-edge-nlb,68000,Count
2026-04-24T21:13:00Z,ActiveFlowCount_TLS,AWS/NetworkELB,lumen-edge-nlb,72000,Count
2026-04-24T21:08:00Z,TCP_Client_Reset_Count,AWS/NetworkELB,lumen-edge-nlb,12,Count
2026-04-24T21:09:00Z,TCP_Client_Reset_Count,AWS/NetworkELB,lumen-edge-nlb,8421,Count
2026-04-24T21:10:00Z,TCP_Client_Reset_Count,AWS/NetworkELB,lumen-edge-nlb,11203,Count
2026-04-24T21:13:00Z,TCP_Client_Reset_Count,AWS/NetworkELB,lumen-edge-nlb,9842,Count
